,compound,x,Temperature,rho,w_mass,w_vol,Viscosity,Kin_viscosity,E
4130,peta,30.302472243878253,20.69999999999999,1.16,9.75,13.681230947887936,198.6172727272727,171.2217868338558,57886.5728098312
4131,peta,30.302472243878253,20.80000000000001,1.16,9.75,13.681230947887938,196.53267326732677,169.42471833390238,57886.5728098312
4132,peta,30.302472243878253,20.810000000000002,1.16,9.75,13.681230947887936,196.49999999999997,169.3965517241379,57886.5728098312
4133,peta,30.302472243878253,20.899999999999977,1.16,9.75,13.681230947887936,194.77261904761903,167.9074302134647,57886.5728098312
4134,peta,30.302472243878253,21.0,1.16,9.75,13.681230947887935,193.80000000000004,167.06896551724142,57886.5728098312
4135,peta,30.302472243878253,21.05000000000001,1.16,9.75,13.681230947887935,193.53333333333333,166.83908045977014,57886.5728098312
4136,peta,30.302472243878253,21.060000000000002,1.16,9.75,13.681230947887938,193.65454545454548,166.94357366771166,57886.57280983121
4137,peta,30.302472243878253,21.19999999999999,1.16,9.75,13.681230947887936,191.39999999999998,165.0,57886.5728098312
4138,peta,30.302472243878253,21.399999999999977,1.16,9.75,13.681230947887936,188.98235294117652,162.91582150101422,57886.5728098312
4139,peta,30.302472243878253,21.5,1.16,9.75,13.681230947887935,187.80000000000004,161.89655172413796,57886.5728098312
4140,peta,30.302472243878253,21.600000000000023,1.16,9.75,13.681230947887935,185.7,160.08620689655172,57886.5728098312
4141,peta,30.302472243878253,21.69999999999999,1.16,9.75,13.681230947887936,185.48333333333335,159.89942528735634,57886.5728098312
4142,peta,30.302472243878253,21.80000000000001,1.16,9.75,13.681230947887935,183.29999999999995,158.01724137931032,57886.5728098312
4143,peta,30.302472243878253,21.899999999999977,1.16,9.75,13.681230947887936,182.37391304347824,157.21889055472263,57886.572809831196
4144,peta,30.302472243878253,22.0,1.16,9.75,13.681230947887936,180.06363636363636,155.22727272727275,57886.5728098312
4145,peta,30.302472243878253,22.100000000000023,1.16,9.75,13.681230947887936,177.93870967741935,153.39543937708567,57886.5728098312
4146,peta,30.302472243878253,22.19999999999999,1.16,9.75,13.681230947887936,175.55851063829786,151.34354365370507,57886.5728098312
4147,peta,30.302472243878253,22.30000000000001,1.16,9.75,13.681230947887936,174.23274336283185,150.20064083002745,57886.5728098312
4148,peta,30.302472243878253,22.399999999999977,1.16,9.75,13.681230947887936,172.50000000000006,148.70689655172418,57886.5728098312
4149,peta,30.302472243878253,22.410000000000025,1.16,9.75,13.681230947887936,173.09999999999994,149.22413793103445,57886.5728098312
4150,peta,30.302472243878253,22.5,1.16,9.75,13.681230947887936,171.6013888888889,147.9322318007663,57886.5728098312
4151,peta,30.302472243878253,22.600000000000023,1.16,9.75,13.681230947887936,170.20172413793102,146.72562425683708,57886.572809831196
4152,peta,30.302472243878253,22.610000000000014,1.16,9.75,13.681230947887936,170.4,146.89655172413794,57886.5728098312
4153,peta,30.302472243878253,22.69999999999999,1.16,9.75,13.681230947887935,169.76666666666662,146.35057471264363,57886.5728098312
4154,peta,30.302472243878253,22.80000000000001,1.16,9.75,13.681230947887936,167.4,144.31034482758622,57886.5728098312
4155,peta,30.302472243878253,22.899999999999977,1.16,9.75,13.681230947887936,167.4611111111111,144.3630268199234,57886.5728098312
4156,peta,30.302472243878253,23.0,1.16,9.75,13.681230947887938,165.2318181818182,142.44122257053291,57886.57280983121
4157,peta,30.302472243878253,23.100000000000023,1.16,9.75,13.681230947887936,164.40000000000006,141.72413793103453,57886.5728098312
4158,peta,30.302472243878253,23.19999999999999,1.16,9.75,13.681230947887936,163.1903846153846,140.68136604774537,57886.5728098312
4159,peta,30.302472243878253,23.30000000000001,1.16,9.75,13.681230947887936,160.76000000000002,138.58620689655174,57886.5728098312
4160,peta,30.302472243878253,23.399999999999977,1.16,9.75,13.681230947887936,160.51999999999998,138.3793103448276,57886.5728098312
4161,peta,30.302472243878253,23.5,1.16,9.75,13.681230947887935,159.59999999999997,137.58620689655172,57886.5728098312
4162,peta,30.302472243878253,23.600000000000023,1.16,9.75,13.681230947887936,159.00000000000003,137.06896551724142,57886.5728098312
4163,peta,30.302472243878253,23.69999999999999,1.16,9.75,13.681230947887936,157.02,135.36206896551727,57886.5728098312
4164,peta,30.302472243878253,23.80000000000001,1.16,9.75,13.681230947887936,156.89999999999998,135.25862068965517,57886.5728098312
4165,peta,30.302472243878253,23.899999999999977,1.16,9.75,13.681230947887936,156.60000000000002,135.0,57886.5728098312
4166,peta,30.302472243878253,24.100000000000023,1.16,9.75,13.681230947887936,154.20000000000005,132.93103448275866,57886.5728098312
4167,peta,30.302472243878253,24.19999999999999,1.16,9.75,13.681230947887936,152.9333333333333,131.83908045977012,57886.5728098312
4168,peta,30.302472243878253,24.30000000000001,1.16,9.75,13.681230947887936,153.0,131.89655172413794,57886.5728098312
4169,peta,30.302472243878253,24.399999999999977,1.16,9.75,13.681230947887935,150.9,130.08620689655174,57886.5728098312
