,compound,x,Temperature,D_comp,D_but,rho,w_mass,w_vol,D,Viscosity,E,D0,x_exact
19,dmag,22,40,0.2408018495737785,0.347039882750206,1.0500000000000005,9.730000000000002,14.595000000000004,131705.05540842313,2.374444444444445,19107.24719544104,207726214.04821512,22.367037495996986
20,dmag,35,15,0.2007233950514663,0.2701598839735094,1.0299999999999998,16.81,24.734714285714286,66752.11981599942,4.322967032967032,19529.252751978405,231382147.6347853,35.06995463563187
21,dmag,35,20,0.0817798175539541,0.4518606042748516,1.0300000000000002,16.81,24.734714285714283,77230.9041355487,3.8010643738977072,19529.252751978405,231382147.63478535,35.06995463563189
22,dmag,35,25,0.2792261299874339,0.1800506783454596,1.0300000000000002,16.81,24.734714285714283,88215.97544559783,3.380595238095238,19529.252751978405,231382147.63478535,35.06995463563189
23,dmag,35,30,0.1809592268411656,0.3659779507605092,1.03,16.81,24.734714285714283,100902.9783838487,3.0059180945105317,19529.252751978405,231382147.63478532,35.06995463563188
26,dmag,39,20,0.2104154808267511,0.3377207031870201,1.02,19.82,28.880571428571432,85638.91024335162,3.423807692307693,18805.747346772365,193058242.18448383,39.78587350349757
27,dmag,39,25,0.1985841693142307,0.2777440562790465,1.02,19.82,28.880571428571432,97502.93694086562,3.060376068376068,18805.747346772365,193058242.18448383,39.78587350349757
28,dmag,39,30,0.1937770961345563,0.4390358915712767,1.02,19.82,28.880571428571432,111625.60103618194,2.716190476190476,18805.747346772365,193058242.18448383,39.78587350349757
29,dmag,39,40,0.3259141556105587,0.5100708117259803,1.0199999999999998,19.82,28.880571428571432,138373.5254827712,2.26,18805.74734677237,193058242.1844838,39.78587350349757
30,ocm,0,15,0.2284902236470805,0.0,1.72,0.0,0.0,928.1143544816334,311.4015641208575,59372.5934995717,58053559827657.91,0.0
31,ocm,0,20,0.1069428696132693,0.0,1.72,0.0,0.0,1498.0182699398115,196.2638160995464,59372.59349957169,58053559827657.89,0.0
32,ocm,0,25,0.1865047618226421,0.0,1.7199999999999998,0.0,0.0,2321.585749408778,128.91808345681582,59372.593499571696,58053559827657.89,0.0
33,ocm,0,30,0.0720284909158947,0.0,1.72,0.0,0.0,3429.9398681832718,88.46563347875802,59372.593499571696,58053559827657.89,0.0
34,ocm,0,40,0.1270803379233033,0.0,1.7199999999999998,0.0,0.0,6380.65680042561,49.12027054223449,59372.593499571696,58053559827657.89,0.0
35,ocm,12,15,0.0911503786677051,0.6627046114842454,1.58,2.39,5.394571428571429,1534.664945766608,188.1203571428572,52367.62704465405,4791470034128.69,12.143251252861443
36,ocm,12,20,0.1704090242202846,0.7113133404426245,1.58,2.39,5.394571428571429,2208.8059905466907,132.9622778872315,52367.62704465405,4791470034128.69,12.143251252861443
